id,url,seen,,
8388320,http://www.car.gr/8388320-ford-fiesta-1-250-5door-ambiente,yes,,
8433020,http://www.car.gr/8433020-ford-fiesta-fun,yes,,
7907851,http://www.car.gr/7907851-fiat-punto,yes,,
8578329,http://www.car.gr/8578329-fiat-punto-van,yes,,
8638182,http://www.car.gr/8638182-ford-fiesta,no,kalo athina,
4917818,http://www.car.gr/4917818-fiat-punto-diesel-1-3-multijet-09,yes,,
8606749,http://www.car.gr/8606749-ford-fiesta-van,yes,,
6561494,http://www.car.gr/6561494-fiat-punto-1-3-diesel-van,yes,,
8533072,http://www.car.gr/8533072-fiat-punto,yes,,
6452723,http://www.car.gr/6452723-fiat-punto-16v,no,kalo kriti,
5016409,http://www.car.gr/5016409-ford-fiesta-st-160ps,yes,,
8558320,http://www.car.gr/8558320-ford-fiesta-st,yes,,
8646227,http://www.car.gr/8646227-ford-fiesta-diesel-5d-117,yes,,
8584701,http://www.car.gr/8584701-ford-fiesta-cdti-diesel,yes,,
7942278,http://www.car.gr/7942278-ford-fiesta-diesel-1-4-tdci,yes,,
7822603,http://www.car.gr/7822603-ford-fiesta-foul-extra-ebony,yes,,
7931747,http://www.car.gr/7931747-ford-fiesta-trend-5d,yes,,
8602880,http://www.car.gr/8602880-ford-fiesta-1-4tdci-diesel-klima,yes,,
8444711,http://www.car.gr/8444711-ford-fiesta,yes,,
8536984,http://www.car.gr/8536984-ford-fiesta-s,yes,,
8596699,http://www.car.gr/8596699-ford-fiesta-s,yes,,
7382055,http://www.car.gr/7382055-ford-fiesta-ghia-1-6,yes,,
8263725,http://www.car.gr/8263725-ford-fiesta-fun,no,kalo athina,xalandri
7643271,http://www.car.gr/7643271-ford-fiesta,yes,,
8025448,http://www.car.gr/8025448-ford-fiesta-1-4tdci-diesel-klima,yes,,
8260453,http://www.car.gr/8260453-ford-fiesta-1-2-autodedousis,yes,,
8452102,http://www.car.gr/8452102-ford-fiesta-1-4tdci-diesel,yes,,
7989975,http://www.car.gr/7989975-ford-fiesta-1-4-diesel-titanium-5,yes,,
8541561,http://www.car.gr/8541561-ford-fiesta-sport-1-6-lpg,yes,,
8412302,http://www.car.gr/8412302-ford-fiesta-1-4tdci-diesel-klima,yes,,
8152340,http://www.car.gr/8152340-ford-fiesta,yes,,
7080185,http://www.car.gr/7080185-ford-fiesta-1-4-trend,yes,,
8454426,http://www.car.gr/8454426-ford-fiesta-style-diesel-1-4-tdci,yes,,
8583989,http://www.car.gr/8583989-ford-fiesta-sport-120hp-1-6-ti-vct-3,yes,,
8525517,http://www.car.gr/8525517-ford-fiesta-ghia-1-4-full-extra,yes,,
8639932,http://www.car.gr/8639932-ford-fiesta-titanium-5dr-full-extra,no,kalo athina,
8552129,http://www.car.gr/8552129-ford-fiesta-1-6-tdci-diesel-2007,yes,,
8515131,http://www.car.gr/8515131-ford-fiesta-trend-5d,yes,,
7537380,http://www.car.gr/7537380-ford-fiesta-sport-1-6-3,yes,,
8520470,http://www.car.gr/8520470-ford-fiesta-s-1400,yes,,
8558814,http://www.car.gr/8558814-ford-fiesta-1-4-trend-5d,no,kalo athina,
8236231,http://www.car.gr/8236231-ford-fiesta-diesel-copa-car,yes,,
6258524,http://www.car.gr/6258524-ford-fiesta-1-4tdci-diesel-klima,yes,,
8583249,http://www.car.gr/8583249-ford-fiesta-tdci-turbo-diesel-1-4,yes,,
6643218,http://www.car.gr/6643218-ford-fiesta-diesel-1-4-tdci,yes,,
8305303,http://www.car.gr/8305303-ford-fiesta-tdi-diesel-1-4,yes,,
8635986,http://www.car.gr/8635986-ford-fiesta-trend-5,no,kalo athina,
7508404,http://www.car.gr/7508404-ford-fiesta-diesel,yes,,
6749182,http://www.car.gr/6749182-ford-fiesta-ebony-sport,yes,,
8516723,http://www.car.gr/8516723-ford-fiesta-1-4-ambiente-5d,yes,,
8470547,http://www.car.gr/8470547-ford-fiesta-titanium,yes,,
8607780,http://www.car.gr/8607780-ford-fiesta,no,kalo athina,
5405383,http://www.car.gr/5405383-ford-fiesta-diesel-euro5,yes,,
5288058,http://www.car.gr/5288058-ford-fiesta-tdci-turbo-diesel-1-4,yes,,
8638228,http://www.car.gr/8638228-ford-fiesta-titanium-5dr-full-extra,no,kalo athina,
8395083,http://www.car.gr/8395083-ford-fiesta-5,yes,,
8496307,http://www.car.gr/8496307-ford-fiesta-sport-1-6-3,yes,,
8011420,http://www.car.gr/8011420-ford-fiesta,yes,,
7268828,http://www.car.gr/7268828-ford-fiesta-1200cc,no,kalo athina,pallini
8464358,http://www.car.gr/8464358-ford-fiesta-ghia-1-4-full-extra,no,kalo athina,marousi
7069925,http://www.car.gr/7069925-ford-fiesta-1-4tdci-van-euro4,yes,,
8245578,http://www.car.gr/8245578-ford-fiesta-st,yes,,
7860547,1http://www.car.gr/7860547-ford-fiesta-tdci-turbo-diesel-1oxe,yes,,
8600644,http://www.car.gr/8600644-ford-fiesta-ambiente-5d-1250cc,no,kalo athina,
8597782,http://www.car.gr/8597782-ford-fiesta-ti-vct-sport-120,yes,,
8382816,http://www.car.gr/8382816-ford-fiesta-mk6-look-st,yes,,
8638305,http://www.car.gr/8638305-ford-fiesta,no,kalo athina,peristeri
8608070,http://www.car.gr/8608070-ford-fiesta-titanium-3d,yes,,
8447553,http://www.car.gr/8447553-ford-fiesta,yes,,
7312216,http://www.car.gr/7312216-ford-fiesta-3-service,yes,,
8604101,http://www.car.gr/8604101-ford-fiesta,yes,,
8412860,http://www.car.gr/8412860-ford-fiesta-sport-1-6-ti-vct-3,yes,,
8538253,http://www.car.gr/8538253-ford-fiesta,yes,,
8585252,http://www.car.gr/8585252-ford-fiesta-tdci-diesel-crs-motors,yes,,
8593397,http://www.car.gr/8593397-ford-fiesta-sport-1-6-125hp,yes,,
8553275,http://www.car.gr/8553275-ford-fiesta,yes,,
8482522,http://www.car.gr/8482522-ford-fiesta-1-4-tdci-diesel-clima,yes,,
8598722,http://www.car.gr/8598722-ford-fiesta-sport-125hp,yes,,
8505619,http://www.car.gr/8505619-ford-fiesta-trend-5d,yes,,
8615403,http://www.car.gr/8615403-ford-fiesta,yes,,
8404774,http://www.car.gr/8404774-ford-fiesta-sport-1-6-ti-vct-3,yes,,
8210191,http://www.car.gr/8210191-ford-fiesta-trend-5d,yes,,
8632845,http://www.car.gr/8632845-ford-fiesta,yes,,
8426661,http://www.car.gr/8426661-ford-fiesta-sport-1-6-3-t,yes,,
5790323,http://www.car.gr/5790323-ford-fiesta-tdci-turbo-diesel-1-4,yes,,
6845743,http://www.car.gr/6845743-ford-fiesta-trend-econetic-tdci,yes,,
8508837,http://www.car.gr/8508837-ford-fiesta,yes,,
7011659,http://www.car.gr/7011659-ford-fiesta-econetic-1-6cdi-euro5,yes,,
8579431,http://www.car.gr/8579431-ford-fiesta-smabill-center-diesel,yes,,
8555253,http://www.car.gr/8555253-ford-fiesta,yes,,
7897269,http://www.car.gr/7897269-ford-fiesta,yes,,
8389849,http://www.car.gr/8389849-ford-fiesta,yes,,
8070467,http://www.car.gr/8070467-ford-fiesta,yes,,
8441253,http://www.car.gr/8441253-ford-fiesta-st,yes,,
7656671,http://www.car.gr/7656671-ford-fiesta-1-4tdci-diesel-klima,yes,,
7899858,http://www.car.gr/7899858-ford-fiesta-diesel-1-4-tdci,yes,,
8644287,http://www.car.gr/8644287-fiat-punto-t-jet-120hp-sport-full-extra,yes,,
8049885,http://www.car.gr/8049885-fiat-punto-service,yes,,
8644289,http://www.car.gr/8644289-fiat-punto-t-jet-120hp-sport-full-extra,yes,,
8416984,http://www.car.gr/8416984-fiat-punto-evo,yes,,
8137352,http://www.car.gr/8137352-ford-fiesta,no,kalo kriti,hrakleio
